Date,SPY,GLD
2020-05-11,288.8262023925781,159.4199981689453
2020-05-12,283.0694580078125,160.0399932861328
2020-05-13,278.0631103515625,161.5800018310547
2020-05-14,281.39080810546875,163.00999450683594
2020-05-15,282.6843566894531,163.92999267578125
2020-05-18,291.2947998046875,162.69000244140625
2020-05-19,288.3028564453125,164.25999450683594
2020-05-20,293.2005615234375,164.64999389648438
2020-05-21,291.17633056640625,162.25
2020-05-22,291.72930908203125,163.2100067138672
2020-05-26,295.32354736328125,160.88999938964844
2020-05-27,299.7176818847656,161.17999267578125
2020-05-28,299.1647033691406,161.72000122070312
2020-05-29,300.4977722167969,162.91000366210938
2020-06-01,301.7122802734375,163.66000366210938
2020-06-02,304.2104797363281,162.60000610351562
2020-06-03,308.259033203125,159.60000610351562
2020-06-04,307.4493103027344,161.27999877929688
2020-06-05,315.3290710449219,158.00999450683594
2020-06-08,319.140625,159.72000122070312
2020-06-09,316.7608947753906,161.25999450683594
2020-06-10,314.9933776855469,163.57000732421875
2020-06-11,296.8343505859375,162.38999938964844
2020-06-12,300.3891296386719,162.6199951171875
2020-06-15,303.1934509277344,162.3300018310547
2020-06-16,309.02923583984375,162.25
2020-06-17,307.74554443359375,162.55999755859375
2020-06-18,307.8640441894531,162.24000549316406
2020-06-19,306.1046447753906,164.02999877929688
2020-06-22,308.068359375,165.08999633789062
2020-06-23,309.4866027832031,166.47999572753906
2020-06-24,301.5920104980469,165.89999389648438
2020-06-25,304.8252258300781,165.8000030517578
2020-06-26,297.585205078125,166.5399932861328
2020-06-29,301.9589538574219,166.6300048828125
2020-06-30,305.826904296875,167.3699951171875
2020-07-01,307.96917724609375,166.6199951171875
2020-07-02,309.6651306152344,166.97999572753906
2020-07-06,314.445556640625,167.97999572753906
2020-07-07,311.2024230957031,169.0399932861328
2020-07-08,313.5826721191406,170.08999633789062
2020-07-09,311.7974548339844,169.6300048828125
2020-07-10,314.9811096191406,169.19000244140625
2020-07-13,312.2536926269531,169.39999389648438
2020-07-14,316.3002014160156,170.19000244140625
2020-07-15,319.20611572265625,170.33999633789062
2020-07-16,318.15484619140625,168.72999572753906
2020-07-17,319.0771789550781,170.1199951171875
2020-07-20,321.65582275390625,170.94000244140625
2020-07-21,322.3401794433594,173.0
2020-07-22,324.1749572753906,175.6300048828125
2020-07-23,320.3069763183594,177.17999267578125
2020-07-24,318.24407958984375,178.6999969482422
2020-07-27,320.5648498535156,182.22999572753906
2020-07-28,318.5317077636719,183.75
2020-07-29,322.4492492675781,185.1300048828125
2020-07-30,321.29876708984375,183.75999450683594
2020-07-31,323.8377380371094,185.42999267578125
2020-08-03,326.089111328125,185.63999938964844
2020-08-04,327.3486633300781,189.58999633789062
2020-08-05,329.3818054199219,191.35000610351562
2020-08-06,331.5835876464844,193.88999938964844
2020-08-07,331.8216552734375,190.80999755859375
